id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
28," That this was a requirement of the bankers of the banks, because they want to walk away from the foreclosures of net worth properties.   At the same time, no measures were taken so that the obligation that the state has towards the residents of Malessina does not cost a fortune for the obvious, for example in view of the privatization of LARCO, which with a bill legalized everything for free for all that we live, we know the real culprits in all cases to privatize large companies and state services there has been a methodical, a conscious devaluation by all governments, a policy of abandoning overcharging and fines directed by the European Union.  In all cases, the abandonment, the devaluation, the subordination of the state to the interests of the few is highlighted each time.  In all cases, the way in which governments are linked to the interests of various business groups, that is, to the profits of the few, is highlighted, and this link is the matrix that gives rise to kickbacks and corruption.  In the railways, the provocative concession contracts concluded and signed by all these governments are an eye-opener.In LARCO, the waste of millions by all the governments, the conscious abandonment to demolish it and give it away for a plate of lentils, so that the furnaces have been extinguished and the workers do not know if and when it will be reopened.  The railways and LARCO are typical examples, as are the shipyards in our country, ELVO, roads, ports, airports, telecommunications.  The PPC and overall infrastructure given by all governments for the benefit of business groups. All these were sold. "," Ότι αυτό ήταν μια απαίτηση των τραπεζιτών των τραπεζών, γιατί θέλουν να περπατήσουν τις κατασχέσεις των καθαρών ακινήτων   Παράλληλα, κανένα μέτρο δεν πήρε έτσι ώστε η υποχρέωση που έχει το κράτος απέναντι στους κατοίκους της μαλεσίνας να μην κοστίσει μια περιουσία για τα αυτονόητα παραδείγματος και εν όψει της ιδιωτικοποίησης της ΛΑΡΚΟ που με ένα νομοσχέδιο νομιμοποίησε τα πάντα δωρεάν για όλα όσα ζούμε, γνωρίζουμε τους πραγματικούς υπεύθυνους σ όλες τις περιπτώσεις για να ιδιωτικοποιηθούν μεγάλες επιχειρήσεις και κρατικές υπηρεσίες υπήρξε μια μεθοδευμένη, μια συνειδητή απαξίωση από όλες τις κυβερνήσεις, μια πολιτική εγκατάλειψης υπερχρέωσης και προστίμων με κατεύθυνση από την Ευρωπαϊκή Ένωση  Σε όλες τις περιπτώσεις κάθε φορά αναδεικνύεται η εγκατάλειψη, η απαξίωση, η υποταγή του κράτους στα συμφέροντα των λίγων  Σε όλες τις περιπτώσεις αναδεικνύεται ο τρόπος που συνδέονται οι κυβερνήσεις με τα συμφέροντα των διαφόρων επιχειρηματικών ομίλων, δηλαδή με τα κέρδη τελικά των λίγων και αυτή η σύνδεση είναι η μήτρα που γεννά και τις μίζες και τη διαφθορά  Στο σιδηρόδρομο βγάζουν μάτι οι προκλητικές συμβάσεις παραχώρησης που σύναψαν και υπόγραψαν όλες αυτές οι κυβερνήσεις στη ΛΑΡΚΟ βγάζει μάτι η κατασπατάληση εκατομμυρίων από όλες τις κυβερνήσεις η συνειδητή εγκατάλειψη για να την γκρεμίσουν και να τη δώσουν έναντι πινακίου φακής, με αποτέλεσμα να έχουν σβήσει τα καμίνια της, να μην γνωρίζουν οι εργαζόμενοι, αν και πότε θα επαναλειτουργήσει  Ο σιδηρόδρομος και η ΛΑΡΚΟ είναι χαρακτηριστικά παραδείγματα, όπως άλλωστε είναι και τα ναυπηγεία στη χώρα μας, οι ΕΛΒΟ, οι δρόμοι, τα λιμάνια, τα αεροδρόμια, οι τηλεπικοινωνίες  Η ΔΕΗ και συνολικά οι υποδομές που δίνονται από όλες τις κυβερνήσεις για να κερδίζουν επιχειρηματικοί όμιλοι Όλα αυτά εκποιήθηκαν",privatization,,other,,privatization,-0.8,0.8,0.2,0.85,0.8,0.7,0.0,0.1,"[['malessina', 'location', '1.0'], ['larco', 'organization', '1.0'], ['european union', 'organization', '1.0'], ['railways', 'organization', '1.0'], ['elvo', 'organization', '1.0'], ['ppc', 'organization', '1.0']]","[['malessina', 'location', '0.75'], ['larco', 'organization', '0.9'], ['european union', 'organization', '0.6'], ['railways', 'organization', '0.7'], ['shipyards', 'organization', '0.6'], ['elvo', 'organization', '0.5'], ['ppc', 'organization', '0.6']]"
29," We are full of unemployed and we live the current situation, you have the government right hand, a large portion of the media that take direction and present all this as supposedly damaging. Since the workers' mobilisations and demands are either not raised, or they use the narrative.  You have the right to strike, but other workers have the right to work.  You are state-sponsored trade unionists and other such things that we hear every day. "," Γεμίσαμε ανέργους και κάτεργα ζούμε τη σημερινή κατάσταση, έχουν εσυ κυβέρνησης δεξί χέρι, μεγάλη μερίδα μέσων ενημέρωσης που παίρνουν κατεύθυνση και τα παρουσιάζουν όλα αυτά ως δήθεν ζημιογόνα Από τις κινητοποιήσεις των εργαζομένων και τα αιτήματα είτε δεν τις προβάλλουν, είτε χρησιμοποιούν το αφήγημα  Έχετε δικαίωμα στην απεργία, αλλά και οι υπόλοιποι εργαζόμενοι έχουν δικαίωμα στην εργασία  Είστε κρατικοδίαιτοι συνδικαλιστές και άλλα τέτοια που τα ακούμε καθημερινά",employment,,workers' rights,,unemployment,-0.6,0.8,0.0,0.75,0.2,0.8,0.2,0.2,"[['government', 'organization', '0.9'], ['media', 'organization', '0.7'], ['workers', 'group', '0.8'], ['trade unionists', 'group', '0.5']]","[['government', 'organization', '0.8'], ['media', 'organization', '0.7'], ['workers', 'group of people', '0.9'], ['state-sponsored trade unionists', 'group of people', '0.6']]"
30," That is, they do everything they can to turn one section of workers against the other.  You have all heard and their parrots, that the workers of LARCO.  They sit and get paid and they all.  You know it's not like that. "," Κάνουν δηλαδή ό τι μπορούν για να στρέψουν μια μερίδα εργαζομένων απέναντι στην άλλη  Όλοι έχετε ακούσει και τα παπαγαλάκια τους, ότι οι εργαζόμενοι στη ΛΑΡΚΟ  Κάθονται και πληρώνονται και όλοι  Ξέρετε ότι δεν είναι έτσι",other,,workers' rights,,worker division,-0.5,0.9,0.0,0.8,0.8,0.9,0.0,0.4,"[['larco', 'org', '0.9']]","[['larco', 'organization', '0.6'], ['workers', 'group of people', '0.9']]"
31," You know that the workers of LARCO have been fighting a great and heroic struggle for 4 years now.  It is a struggle that is a beacon for the entire working class at home and abroad, to get the furnaces smoking again.  The struggle of LARCO workers is your living experience here in the region.  4 years, a frontal conflict. "," Ξέρετε ότι οι εργαζόμενοι στη ΛΑΡΚΟ εδώ και 4 χρόνια δίνουν ένα μεγάλο έναν ηρωικό αγώνα  Πρόκειται για έναν αγώνα που αποτελεί φάρο για όλη την εργατική τάξη στο εσωτερικό της χώρας μας, αλλά και στο εξωτερικό, για να ξανά καπνίσουν τα καμίνια  Ο αγώνας των εργαζομένων της ΛΑΡΚΟ είναι η ζωντανή πείρα σας εδώ στην περιοχή  4 χρόνια, μια μετωπική σύγκρουση",employment,,workers' rights,,labor struggle,0.6,0.5,0.1,0.1,0.2,0.6,0.4,0.0,"[['larco', 'organization', '1.0']]","[['larco', 'organization', '1'], ['working class', 'group of people', '0.7'], ['region', 'location', '0.5'], ['abroad', 'location', '0.5'], ['furnaces', 'location', '0.2'], ['4 years', 'date', '1']]"
32," On the one hand the workers, with the solidarity of other workers from all over Greece and abroad, and on the other hand the government of the New Democracy, the other parties that ruled the parties that support business interests, such as the New Democracy, SYRIZA and Bazon, their investors, the mechanisms that have in various municipalities and regions the decisions of the Commission of the European Union and all the laws that they have passed in Parliament over time.  And yet the workers of LARCO have broken every record of endurance or are close to victory.  The government, under the pressure of the political cost of this struggle, has been forced to commit to renewing the contracts until the end of the year.  Despite the predictions and the government's words that said that in 6 months they would be out of the woods for not having to give them even 1 € for compensation, even though they had voted for it, the workers managed to get the laws.  This not to be implemented, change.  She is still standing inside LARCO and they are struggling to relight her fuse. "," Από τη μία πλευρά οι εργαζόμενοι, με την αλληλεγγύη άλλων εργαζομένων από όλη την Ελλάδα και από το εξωτερικό, και από την άλλη η κυβέρνηση της Νέας Δημοκρατίας, τα άλλα κόμματα που κυβέρνησαν τα κόμματα που στηρίζουν επιχειρηματικά συμφέροντα, όπως είναι η νέα Δημοκρατία, ΣΥΡΙΖΑ και μπάζων, οι επενδυτές τους, οι μηχανισμοί που έχουν σε διάφορους δήμους και περιφέρειες οι αποφάσεις της Κομισιόν της Ευρωπαϊκής Ένωσης και όλοι οι νόμοι που αυτοί έχουν ψηφίσει στη Βουλή διαχρονικά  Και όμως οι εργαζόμενοι της ΛΑΡΚΟ έχουν σπάσει κάθε ρεκόρ αντοχής ή είναι κοντά στη νίκη  Η κυβέρνηση κάτω από την πίεση του πολιτικού κόστους που έχει δημιουργήσει αυτός ο αγώνας, αναγκάστηκε να δεσμευτεί στην ανανέωση των συμβάσεων μέχρι τέλος του χρόνου  Παρά τις προβλέψεις και τα λεγόμενα της κυβέρνησης που έλεγε ότι σε 6 μήνες θα έχει ξεμπερδέψει που δεν είχε να τους δώσει ούτε 1 € για αποζημίωση, αν και τα είχε ψηφίσει οι εργαζόμενοι κατάφεραν οι νόμοι  Αυτή να μην εφαρμοστούν, να αλλάξουν  Είναι ακόμα ορθή μέσα στη ΛΑΡΚΟ και παλεύουν να ανάψουν ξανά την τσιμινιέρα της",employment,,workers' rights,,larco workers' struggle,0.0,0.2,0.3,0.2,0.0,0.1,0.2,0.0,"[['workers', 'organization', '1.0'], ['greece', 'location', '1.0'], ['new democracy', 'political party', '0.75'], ['syriza', 'political party', '0.5'], ['bazon', 'political party', '0.25'], ['investors', 'organization', '0.5'], ['commission of the european union', 'organization', '1.0'], ['parliament', 'organization', '1.0'], ['larco', 'organization', '1.0']]","[['greece', 'country', '1.0'], ['new democracy', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['bazon', 'organization', '0.2'], ['commission of the european union', 'organization', '0.8'], ['parliament', 'organization', '0.8'], ['larco', 'organization', '1.0']]"
33," Mr. E or has been and will be by their side, but right now it requires the whole region to show determination that the plans that others have will not go through and determination means that we will not allow him to lose his job either.  One worker, we will not allow a single house to be auctioned.  We will not allow the blackout to happen to any popular household.  We will demand that measures be taken, that infrastructure be created to serve security, everyday life, the needs of the people.  We can with our struggles, but also with our political choices.  We can. "," Το κ κ Ε  ή ήταν είναι και θα είναι δίπλα τους, αλλά αυτή τη στιγμή απαιτείται όλη η περιοχή να δείξει αποφασιστικότητα ότι τα σχέδια που έχουν οι άλλοι δεν θα περάσουν και η αποφασιστικότητα σημαίνει ότι δεν θα επιτρέψουμε να χάσει τη δουλειά του ούτε  Ένας εργαζόμενος, δεν θα επιτρέψουμε να γίνει πλειστηριασμός ούτε σε ένα σπίτι  Δεν θα επιτρέψουμε να γίνει η διακοπή ρεύματος σε κανένα λαϊκό νοικοκυριό  Θα απαιτήσουμε να παρθούν μέτρα, να δημιουργηθούν υποδομές που να εξυπηρετούν την ασφάλεια, την καθημερινότητα, τις λαϊκές ανάγκες  Μπορούμε με τους αγώνες μας, αλλά και με τις πολιτικές μας επιλογές  Μπορούμε",employment,,workers' rights,,worker's rights,0.7,0.15,0.0,0.0,0.0,0.4,0.1,0.0,"[['mr. e', 'person', '1.0']]","[['mr. e', 'person', '0.8'], ['the whole region', 'group of people', '0.7'], ['one worker', 'person', '0.5']]"
34, Reinforcing everywhere the Mr. Mr.  E and in the elections to redden the ballot boxes to get Mr. Mr.  E deputy here in Fthiotida.  Do you know how many of Mr.  Κ. , Ενισχύοντας παντού το κ κ  Ε και στις εκλογές για να κοκκινίσουν οι κάλπες για να αποκτήσει το κ κ  Ε βουλευτή και εδώ στη Φθιώτιδα  Ξέρετε πόσοι βουλευτές του κ  Κ,other,,other,,politics/elections,-0.5,1.0,1.0,0.9,0.9,0.9,0.0,0.8,"[['fthiotida', 'location', '1.0'], ['mr. ε', 'person', '1.0'], ['mr. κ.', 'person', '1.0']]","[['fthiotida', 'location', '1.0'], ['mr. e', 'person', '1.0'], ['mr. k', 'person', '1.0']]"
35," They do everything they can to be in the workplaces in the towns and villages every day, they do everything they can to highlight the problems, demand solutions and step forward to implement them.  Because the people also need associations like LARCO, associations that will highlight culture, the sporting spirit, customs, popular entertainment, they need municipal councillors, mayors, regional governors, elected by the ballots of the People's Coalition who have a position with documented proposals for every village, every municipality in the region, in all the problems. It doesn't need MPs who vote to red the houses, the banks and if they buy the red loans and their crows.  It needs MPs to stand in front of every bailiff to cancel auctions to block the crows of banks and other business groups.  The people do not need MPs and ministers whose bills condemn the young, the workers, the pensioners, but they need those who reveal to the people the unpopular content of the laws and organise the struggle for their final abolition.  It does not need MPs and ministers who raised their hands and voted to close LARCO to cut the wages and rights of workers and thus condemned an entire region.  It needs Members of Parliament.  Where will they sleep day and night at LARCO, carrying the problems, the demands to the Parliament and organizing the front against the business interests that want to exploit this whole area and the workers to be unemployed or on starvation wages We also hear those who say. "," Ε κάνουν ότι μπορούν για να βρίσκονται καθημερινά μέσα στους χώρους δουλειάς στις πόλεις και τα χωριά κάνουν ότι μπορούν για να αναδεικνύουν τα προβλήματα, να διεκδικούν λύσεις και μπαίνουν μπροστά για να υλοποιηθούν αυτές  Γιατί ο λαός έχει ανάγκη και από σωματεία όπως της ΛΑΡΚΟ από συλλόγους που θα αναδεικνύουν τον πολιτισμό, το αθλητικό πνεύμα, τα έθιμα, τη λαϊκή διασκέδαση, έχει ανάγκη από δημοτικούς συμβούλους, δημάρχους, περιφερειάρχες, εκλεγμένους από τα ψηφοδέλτια της Λαϊκής Συσπείρωσης που έχουν θέση με τεκμηριωμένες προτάσεις για κάθε χωριό κάθε δήμο στην περιφέρεια, στο σύνολο των προβλημάτων Δεν έχει ανάγκη από βουλευτές που ψηφίζουν για να κοκκινίζουν τα σπίτια, τις τράπεζες και αν αγοράζουν αυτές τα κόκκινα δάνεια και τα κοράκια τους  Έχει ανάγκη από βουλευτές που θα μπαίνουν μπροστά σε κάθε δικαστικό κλητήρα για να ακυρώνουν πλειστηριασμούς για να μπλοκάρουν τα κοράκια των τραπεζών και των άλλων επιχειρηματικών ομίλων  Ο λαός δεν έχει ανάγκη από βουλευτές και υπουργούς που με τα νομοσχέδια καταδικάζουν τους νέους, τους εργαζόμενους, τους συνταξιούχους όλους, αλλά έχει ανάγκη αυτούς που αποκαλύπτουν στο λαό το αντιλαϊκό περιεχόμενο των νόμων και οργανώνουν τον αγώνα για την τελική κατάργησή τους  Δεν έχει ανάγκη από βουλευτές και υπουργούς που σήκωσαν το χέρι και ψήφισαν να κλείσει η ΛΑΡΚΟ να κοπούν οι μισθοί και τα δικαιώματα των εργαζομένων και καταδίκασαν έτσι μια ολόκληρη περιοχή  Έχει ανάγκη από βουλευτές  Πού θα κοιμούνται μέρα νύχτα στη ΛΑΡΚΟ μεταφέροντας τα προβλήματα, τα αιτήματα στη Βουλή αλλά και οργανώνοντας το μέτωπο απέναντι στα επιχειρηματικά συμφέροντα που θέλουν να αλωνίζουν όλη αυτή εδώ την περιοχή και οι εργαζόμενοι να είναι άνεργοι ή να είναι με μισθούς πείνας Ακούμε και αυτούς που λένε",employment,,bank bailouts,,politics/elections,0.0,0.35,0.2,0.2,0.0,0.4,0.2,0.0,"[['larco', 'organization', '2.0'], [""people's coalition"", 'organization', '1.0'], ['mps', 'title', '1.0'], ['bailiff', 'profession', '1.0'], ['parliament', 'organization', '1.0']]","[['larco', 'organization', '1.0'], [""people's coalition"", 'group of people', '1.0'], ['municipal councillors', 'group of people', '1.0'], ['mayors', 'group of people', '1.0'], ['regional governors', 'group of people', '1.0'], ['mps', 'group of people', '1.0'], ['bailiff', 'person', '1.0'], ['pensioners', 'group of people', '1.0'], ['parliament', 'organization', '1.0'], ['larco', 'organization', '1.0'], ['members of parliament', 'group of people', '1.0']]"
36, That we are facing the worst government of this new democracy.  That's because every government is worse than the previous one.  So it was all the worst minia. , Πως έχουμε απέναντί μας τη χειρότερη κυβέρνηση αυτή της νέας δημοκρατίας  Έτσι είναι γιατί κάθε κυβέρνηση είναι χειρότερη από την προηγούμενη  Έτσι ήταν όλες η μίνια χειρότερη,criticism,,other,,government,-0.5,0.625,0.0,0.3,0.2,0.8,0.0,0.0,"[['democracy', 'organization', '0.77'], ['government', 'organization', '0.94']]",[]
37," But on the other hand, we have had the worst opposition in recent years and the worst opposition of SYRIZA and behind it that of PASOK, it is not enough that in any race.  Not only have they not stepped forward, but they have been singing back to the people, telling them that when they come out again at some point this government will solve the problems as if we haven't seen their hairstyles as if they didn't rule or co-govern conditions as if they didn't vote for memoranda that they implemented all together and each one individually, but that's not enough, but completely shamelessly SYRIZA has voted.  And 50% of the laws that the government has passed in the Parliament during this four-year period, while PASOK has passed 70% of these laws.  In fact, all these laws are the laws that flatten rights, flatten the life of the Greek people.  LARCO is the best example for conclusions.  The Communist Party of Greece submitted 3 proposals for laws for the reopening of LARCO to secure all jobs in none of them, but in none of them SYRIZA and PASOK avoided to meet the unions, because we know that there is experience and that they will be cornered.  They did exactly the same thing for bills but tabled by Mr.  Ε.   for accuracy, for the reduction of VAT on fuel and food, for the reduction of the price of electricity for popular households, for the restoration of collective labour agreements, for the restoration of holiday bonuses, for the holiday allowance to all workers and pensioners. "," Από την άλλη είχαμε όμως αυτά τα χρόνια και τη χειρότερη αξιωματική αντιπολίτευση τα τελευταία χρόνια αυτού του ΣΥΡΙΖΑ και από πίσω της αυτή του ΠΑΣΟΚ δεν φτάνει που σε οποιοδήποτε αγώνα  Όχι μόνο δεν μπήκαν μπροστά, αλλά τραγουδούσαν και πίσω τον κόσμο, λέγοντάς του ότι ότι όταν θα βγουν κάποια στιγμή πάλι αυτή η κυβέρνηση θα λύσουν τα προβλήματα λες και δεν έχουμε δει τα χαϊρια τους λες και δεν κυβέρνησαν ή δεν συγκυβέρνησαν όροι αυτοί λες και δεν ψήφισαν μνημόνια που τα εφάρμοσαν όλοι μαζί και ο καθένας ξεχωριστά δεν φτάνει αυτό, αλλά εντελώς ξεδιάντροπα ο ΣΥΡΙΖΑ έχει ψηφίσει  Και το 50% των νόμων που εχει κατεβάσει η κυβέρνηση μέσα στη Βουλή αυτή την τετραετία, ενώ το ΠΑΣΟΚ έχει ψηφίσει το 70% αυτών των νόμων  Μάλιστα όλοι αυτοί οι νόμοι είναι οι νόμοι που ισοπεδώνουν δικαιώματα, ισοπεδώνουν τη ζωή του ελληνικού λαού  Η ΛΑΡΚΟ είναι το καλύτερο παράδειγμα για συμπεράσματα  3 προτάσεις νόμων κατέθεσε το Κομμουνιστικό, Ελλάδας για την επαναλειτουργία της ΛΑΡΚΟ για τη διασφάλιση όλων των θέσεων εργασίας σε καμιά μα σε καμιά δεν τοποθετήθηκε ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ αποφεύγουν να συναντήσουν τα σωματεία, γιατί γνωρίζουμε ότι υπάρχει πείρα και ότι θα τους στριμώξουν  Tα ίδια ακριβώς έκαναν και για νομοσχέδια αλλά που κατέθεσε το κ κ  Ε   για την ακρίβεια, Για τη μείωση του ΦΠΑ στα καύσιμα και στα τρόφιμα για τη μείωση της τιμής στο ηλεκτρικό ρεύμα για τα λαϊκά νοικοκυριά, για την επαναφορά των συλλογικών συμβάσεων εργασίας των δώρων εορτών, το επίδομα αδείας σε όλους τους εργαζόμενους και στους συνταξιούχους",political parties,,other,,political opposition,-0.8,0.7,0.3,0.2,0.3,0.5,0.5,0.0,"[['syriza', 'org', '0.8'], ['pasok', 'org', '0.8'], ['greek', 'norp', '0.6'], ['larco', 'org', '0.6'], ['communist party of greece', 'org', '0.8'], ['mr. ε.', 'person', '0.6'], ['vat', 'org', '0.6']]","[['syriza', 'organization', '0.8'], ['pasok', 'political party', '0.8'], ['greek', 'nationality', '0.8'], ['communist party of greece', 'organization', '0.8'], ['larco', 'organization', '0.8'], ['parliament', 'organization', '0.6'], ['mr. ε.', 'person', '0.6']]"
38," If all this is not evidence of who is with the workers, who is with the opponents, then what is it?  Friends and friends we know each other very well and we have a heart-to-heart relationship with each other even if we don't agree on everything.  We are proud to know this region so well and we are honoured that you see us as females, even those of you who have not voted for us so far.  Thought.  But consider that today you have many more reasons.  More than any other time, trust us to work alongside you, to reach out to Mr.  Well to culti because you know from your own Pyrrha that Mr. Mr. "," Αν όλα αυτά δεν είναι αποδείξεις για το ποιος είναι με τους εργάτες, ποιος ειναι με τους απεναντι τοτε Τι ειναι  Φίλες και φίλοι γνωριζόμαστε πάρα πολύ καλά και έχουμε σχέσεις από καρδιάς μεταξύ μας και ας μη συμφωνούμε σε όλα  Είμαστε περήφανοι που γνωρίζουμε αυτή την περιοχή τόσο καλά και νιώθουμε τιμή που μας βλέπετε θηλυκά, ακόμα και αυτοί που δεν μας έχετε ψηφίσει μέχρι σήμερα  Σκέψη  Σκεφτείτε όμως πως σήμερα έχετε πολύ περισσότερους λόγους  Από κάθε άλλη φορά να μας εμπιστευτείτε να συμπορευτείτε δίπλα μας, να φτάσετε με το ψηφοδέλτιο του κ κ  Ε στην culti γιατί ξέρετε από την ίδια σας την Πύρρα πως το κ κ",other,,other,,workers and opponents,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,[],"[['workers', 'group of people', '1.0'], ['opponents', 'group of people', '1.0'], ['friends', 'group of people', '1.0'], ['females', 'group of people', '1.0'], ['pyrrha', 'person', '1.0'], ['mr. well', 'person', '0.5'], ['mr. mr.', 'person', '0.5']]"
39," Ε.  shows no tolerance to the unpopular policy.  Whatever cloak or costume Mr. E wears, he will be here in front of the struggle to prevent. ", Ε  δεν δείχνει καμιά ανοχή στην αντιλαϊκή πολιτική  Όποιο μανδύα οποία φορεσιά και αν αυτή φοράει το κ κ Ε  θα είναι εδώ μπροστά στον αγώνα για να εμποδίσουμε,political parties,,protest,,political opposition,-0.5,1.0,0.0,0.6,0.6,0.8,0.0,0.0,"[['e', 'person', '0.9'], ['mr. e', 'person', '0.7']]","[['mr. e', 'person', '0.9']]"
40," Unpopular measures to gain breaths of relief, to have conquests and only the Communist, Greece.  Because the Kuquete is the only one who says that today there is a solution for the benefit of the working people, but in conflict with this rotten system and its governments to open the way for a genuine people's government and power.  Only Mr. Mr. "," Αντιλαϊκά μέτρα για να κερδίσουμε ανάσες ανακούφισης, να έχουμε κατακτήσεις και αυτό μπορεί να το κάνει μόνο το Κομμουνιστικό, Ελλάδας  Γιατί το κουκουέ είναι το μόνο που λέει ότι σήμερα υπάρχει λύση προς όφελος του εργαζόμενου λαού, αλλά σε σύγκρουση με αυτό το σάπιο σύστημα με τις κυβερνήσεις του για να ανοίξει ο δρόμος για μια γνήσια λαϊκή διακυβέρνηση και εξουσία  Μόνο το κ κ",political parties,,other,,communism,-0.6,0.9,0.5,0.7,0.8,0.9,0.8,0.3,"[['communist', 'org', '0.7'], ['greece', 'gpe', '0.9'], ['kuquete', 'person', '0.7'], ['mr.', 'person', '1.0']]",[]
41," E has such a scientifically elaborated program that proves that our people everywhere and here in Malesina, in Fthiotida, in the whole of Greece, can enjoy modern rights, to live in prosperity in their place and they and their children and this is what we all must do to set a goal, to live better and we and our children.  We can Only the PLAOS will save the people on the road to the subversion of radical change, but with a much more powerful kukuet with a deputy of Mr.  E in the prefecture of Fthiotida.  In this election talk to everyone and EVERYONE you know, your acquaintances, your relatives, your friends, your friends' friends, your neighbours, anyone you know, your neighbours to give with determination.  Their vote for Mr.  Ε.  Y thank you good strength and health to all.  "," Ε  έχει τέτοιο επιστημονικά επεξεργασμένο πρόγραμμα πρόγραμμα που αποδεικνύει πως ο λαός μας παντού και εδώ στη Μαλεσίνα, στη Φθιώτιδα, σε ολόκληρη την Ελλάδα, μπορεί να απολαμβάνει σύγχρονα δικαιώματα, να ζει με ευημερία στον τόπο του και αυτός και τα παιδιά του και αυτό πρέπει να κάνουμε όλες και όλοι να βάλουμε στόχο, να ζήσουμε καλύτερα και εμείς και τα παιδιά μας  Μπορουμε Μονο ο ΛΑΟΣ θα σωσει το λαο στο δρομο της Ανατροπης της ριζικής αλλαγής με το κουκουέ όμως πολύ πιο δυνατό με βουλευτή του κ κ  Ε στο νομό Φθιώτιδας  Σ αυτές τις εκλογές μιληστε ολοι και ΟΛΕΣ με τους γνωστούς σας τους συγγενείς σας, τους φίλους του, του φίλους σας, τους γείτονες όποιον γνωρίζετε τους συγχωριανούς σας να δώσουν με αποφασιστικότητα  Την ψήφο τους στο κ κ  Ε  Υ σας ευχαριστώ καλή δύναμη και υγεία σε όλους",elections,,other,,election campaign,0.8,0.15,0.0,0.1,0.0,0.5,0.0,0.0,"[['malesina', 'location', '0.6'], ['fthiotida', 'location', '0.9'], ['greece', 'location', '0.8'], ['plaos', 'organization', '0.9'], ['mr. e', 'person', '1.0']]","[['malesina', 'location', '1.0'], ['fthiotida', 'location', '1.0'], ['greece', 'country', '1.0'], ['plaos', 'organization', '1.0'], ['fthiotida', 'location', '1.0'], ['mr. e', 'person', '1.0'], ['everyone', 'group of people', '1.0'], ['mr. ε', 'person', '1.0']]"
